Lon,Lat
74.008488,31.7134661
74.0741805,31.4289648
74.0894387,31.3570212
74.1180398,31.3687615
74.1344686,31.3340139
74.1361081,31.4324549
74.1397809,31.3466122
74.14197,31.3568582
74.1447749,31.3786707
74.1504674,31.3726193
74.1508306,31.367262
74.1556873,31.4304984
74.1559141,31.3753438
74.1561816,31.30668
74.1566077,31.3897937
74.157476,31.342647
74.1575099,31.387287
74.1592408,31.3752095
74.160247,31.3899553
74.1605567,31.3904284
74.1609576,31.348971
74.1626873,31.3943543
74.1631618,31.3727272
74.163314,31.3848895
74.1638041,31.6146276
74.1640475,31.3508138
74.165168,31.352611
74.1656687,31.3664515
74.1666967,31.3897456
74.1677093,31.3498001
74.167886,31.376393
74.1700007,31.3603312
74.1707665,31.3701319
74.1710272,31.3837715
74.1711532,31.3745171
74.1718738,31.3449421
74.1719788,31.3829373
74.172245,31.4430644
74.172438,31.3731114
74.1726602,31.375961
74.1726769,31.357341
74.172735,31.375514
74.1730791,31.3605141
74.1731976,31.4154818
74.173292,31.3545
74.173331,31.3895842
74.1736069,31.3771669
74.1737463,31.3795369
74.1738058,31.3519362
74.174062,31.344938
74.1746976,31.3845138
74.1751144,31.3726382
74.1753061,31.3388733
74.1764408,31.3588692
74.1768022,31.3932743
74.1768401,31.3914931
74.1770742,31.3181486
74.1772773,31.3741773
74.1774237,31.3555563
74.1780829,31.3581273
74.1782872,31.3588692
74.1787244,31.3723818
74.1790427,31.3732472
74.1791027,31.3707158
74.1793445,31.3741694
74.1797938,31.3550439
74.17996,31.4093898
74.180012,31.36957
74.1801642,31.3860947
74.1807469,31.3773418
74.1809313,31.3744952
74.1809958,31.3653301
74.180996,31.365075
74.1814988,31.4630671
74.1822431,31.4550646
74.1826057,31.3518045
74.182606,31.351805
74.182874,31.405718
74.183058,31.374893
74.1832313,31.3065569
74.1832813,31.3899855
74.183667,31.457056
74.1838507,31.3734697
74.1846517,31.3191341
74.185131,31.457428
74.1864055,31.2904453
74.1864252,31.3854333
74.1866182,31.3790354
74.1868973,31.3830473
74.1870086,31.3695194
74.1870328,31.3522802
74.1871109,31.5663139
74.1872672,31.381243
74.1874417,31.3697791
74.189075,31.389171
74.189137,31.4032846
74.1892454,31.3567571
74.1894722,31.3748838
74.1895192,31.4188491
74.1895464,31.4188542
74.189552,31.3009058
74.1900357,31.461698
74.1903882,31.3876404
74.191032,31.457079
74.191326,31.40328
74.191363,31.3824842
74.1914576,31.2910666
74.1917244,31.3877646
74.1918157,31.4149072
74.192292,31.4576397
74.1925916,31.4219384
74.1927598,31.4541243
74.1932756,31.3749339
74.1939007,31.3699306
74.1950422,31.4033113
74.1953753,31.3230045
74.1956332,31.4122457
74.1958071,31.3139236
74.1962579,31.3699306
74.1963654,31.3745994
74.1969734,31.3487011
74.1976366,31.2999438
74.1976649,31.3184852
74.1976938,31.4557273
74.1978163,31.455566
74.197961,31.4516231
74.1982569,31.352797
74.1985036,31.3503955
74.1987306,31.3115315
74.1988555,31.4070709
74.1991192,31.4033115
74.1991886,31.4217791
74.1994339,31.3786834
74.2000677,31.4522641
74.200184,31.313915
74.2002489,31.452248
74.2004868,31.3071423
74.2014414,31.3725841
74.2018687,31.3689776
74.2018953,31.4516912
74.203191,31.307888
74.2032962,31.3004014
74.2033391,31.318062
74.2034428,31.3890002
74.2036301,31.3725795
74.20391,31.373746
74.204084,31.451687
74.2045998,31.3482587
74.2056865,31.3151899
74.2058739,31.4317521
74.2058747,31.4313186
74.2074625,31.3964691
74.2078802,31.3938938
74.2080926,31.3946919
74.2097816,31.3951287
74.210107,31.40918
74.212094,31.318044
74.212636,31.395024
74.2129392,31.592658
74.2142708,31.3503555
74.2149978,31.3547894
74.2151391,31.3184627
74.2160294,31.3273454
74.216373,31.42328
74.2183921,31.2920894
74.2192228,31.3220041
74.2205694,31.4287882
74.2207916,31.3697536
74.221601,31.4022737
74.2232034,31.3567284
74.2233923,31.3131931
74.223517,31.3854734
74.2236108,31.319271
74.2237696,31.3136942
74.2237783,31.2964862
74.2243293,31.3123568
74.2244375,31.3637662
74.2250348,31.4185151
74.2251261,31.3135849
74.2255422,31.3136372
74.2259084,31.3136623
74.225958,31.31369
74.2262128,31.296546
74.2262726,31.4460048
74.228584,31.4124765
74.2289151,31.3747965
74.2297666,31.3962876
74.22977339,31.4192083
74.2301366,31.3500775
74.2314505,31.4601326
74.231955,31.396283
74.232109,31.596498
74.2323692,31.3244538
74.232411,31.3666836
74.232511,31.3689
74.232625,31.308126
74.2333232,31.3697454
74.233644,31.3263648
74.233647,31.4194781
74.2340323,31.3637761
74.234287,31.351831
74.2343639,31.4460694
74.2346292,31.8856281
74.2355062,31.368954
74.2355503,31.3402491
74.2357488,31.3396921
74.2357797,31.3500011
74.2361934,31.358242
74.2371097,31.3728384
74.2372964,31.3747551
74.2378383,31.3722709
74.2386585,31.4949205
74.2388344,31.373911
74.2388458,31.3540325
74.2392968,31.3728068
74.2395368,31.3600188
74.2396587,31.367566
74.2400971,31.3762856
74.2405025,31.3761281
74.240508,31.350547
74.240618,31.368509
74.2406756,31.3210914
74.2407682,31.3579197
74.240912,31.369661
74.2416314,31.3738073
74.24239,31.421503
74.2425905,31.4606794
74.2428468,31.3894108
74.2428473,31.4383887
74.2429632,31.4569642
74.2430346,31.3734995
74.2434211,31.3529867
74.2440213,31.3536646
74.2455319,31.4629349
74.2456098,31.3529821
74.2457483,31.3530244
74.246092,31.3439677
74.2465444,31.4764014
74.2473194,31.4392683
74.2473202,31.4648523
74.2473831,31.3541838
74.2473894,31.3524725
74.2474858,31.3906398
74.2483091,31.4424058
74.2486667,31.4306539
74.2489547,31.3504189
74.2491182,31.5238426
74.249248,31.4321
74.2494062,31.4712118
74.2505595,31.5175118
74.2506584,31.468771
74.2507103,31.3860579
74.2518967,31.4278763
74.2522521,31.3865037
74.252535,31.353876
74.252551,31.386725
74.2529624,31.5272082
74.2532716,31.3738733
74.2535161,31.4310965
74.253636,31.412089
74.2541234,31.4664348
74.2547196,31.5217509
74.2550254,31.4721385
74.2553929,31.4273517
74.2555191,31.3900057
74.255724,31.4331465
74.2562081,31.5152299
74.2565628,31.4771348
74.2569083,31.4713982
74.2569114,31.5217177
74.2572743,31.4321619
74.2574368,31.4246932
74.2574978,31.4156909
74.2578704,31.3736501
74.25789,31.5174158
74.2579034,31.3884192
74.2580703,31.5202514
74.25825,31.380627
74.25843,31.38046
74.258492,31.405257
74.2589877,31.4310685
74.2591265,31.4345803
74.2592902,31.3801919
74.2593728,31.5142296
74.2595147,31.5170743
74.2603975,31.4379665
74.2610733,31.7305035
74.261134,31.380899
74.2612951,31.4241565
74.261748,31.431935
74.2618474,31.3807495
74.2618631,31.377867
74.2619764,31.4273809
74.2621544,31.5151357
74.2622057,31.4207793
74.262429,31.3645037
74.2626824,31.3726106
74.2628375,31.3785132
74.2628377,31.3782581
74.2628379,31.3780031
74.2628415,31.3851913
74.26285,31.374121
74.2629242,31.4746704
74.2637533,31.4722264
74.2638579,31.3861532
74.263967,31.386871
74.2641189,31.4557108
74.2642157,31.4082588
74.2643971,31.3796401
74.2644815,31.4698004
74.2647802,31.7248164
74.2650426,31.5024317
74.2650702,31.4731951
74.265277,31.443259
74.265597,31.38449
74.2657146,31.3846517
74.2659246,31.499387
74.2659594,31.4595314
74.2660251,31.378441
74.2660278,31.4283993
74.2660882,31.424992
74.2661492,31.4215261
74.2663088,31.4615594
74.2670834,31.3856978
74.2672948,31.4571174
74.2680276,31.454621
74.2680456,31.352151
74.268086,31.418263
74.2682112,31.4551166
74.2682943,31.4672404
74.268344,31.385699
74.2684667,31.5056042
74.268753,31.455909
74.268823,31.456124
74.2689988,31.4240671
74.2691436,31.5059001
74.2692186,31.4643174
74.2692244,31.548784
74.2694396,31.3641052
74.2695353,31.3868502
74.2699923,31.4527922
74.2704277,31.5472576
74.27055,31.368884
74.2706261,31.5249952
74.2707477,31.7340984
74.2708217,31.3549447
74.2708773,31.4488839
74.2710528,31.4433712
74.2711508,31.3481072
74.2715745,31.3859382
74.2716663,31.4427071
74.2717516,31.4631269
74.271777,31.386761
74.2717942,31.4086498
74.2720199,31.3858975
74.2721618,31.4064637
74.2722496,31.5206411
74.2722721,31.472629
74.2729513,31.362752
74.2731178,31.5241577
74.2732349,31.4039691
74.273323,31.348926
74.2733274,31.3995256
74.2735152,31.4687983
74.273749,31.4662324
74.2737653,31.5122462
74.2739774,31.3659632
74.274913,31.38175
74.274945,31.386102
74.2749717,31.3845028
74.275067,31.384759
74.2752418,31.4451443
74.275596,31.365403
74.27563,31.3819561
74.2761395,31.4459091
74.276962,31.464584
74.2771285,31.5165196
74.2774125,31.469361
74.2780883,31.4749269
74.278208,31.4493158
74.2782467,31.4600783
74.2783457,31.4718577
74.2784509,31.4222968
74.2786182,31.4538632
74.2793814,31.5094217
74.279414,31.4070922
74.2794622,31.6607665
74.279534,31.449132
74.2795622,31.3635346
74.2795948,31.6586508
74.2796564,31.515922
74.2798707,31.4560445
74.2800495,31.4495943
74.2801832,31.5047132
74.280416,31.550261
74.2806182,31.5201802
74.2816647,31.5059553
74.281784,31.658646
74.2819504,31.5237388
74.2824931,31.5149743
74.2827119,31.5517489
74.2832798,31.4218991
74.283374,31.435786
74.2835741,31.5461397
74.2840151,31.5184789
74.284172,31.511294
74.2843886,31.4646364
74.2846489,31.5224496
74.2848931,31.4177752
74.285132,31.420361
74.2853953,31.5084332
74.2854846,31.4561829
74.2855064,31.5143965
74.2857876,31.4202028
74.2868239,31.4415803
74.2872039,31.4713192
74.2872485,31.4802134
74.2883693,31.4515987
74.2889379,31.4546729
74.2890524,31.5216901
74.2897559,31.4741842
74.290155,31.466507
74.2910102,31.5176426
74.2920346,31.5390373
74.2922719,31.454706
74.2925461,31.5196606
74.292662,31.382132
74.292697,31.462516
74.2930756,31.5177044
74.2934146,31.5137138
74.2942272,31.4585179
74.294942,31.3908974
74.2951707,31.522158
74.2966561,31.5104847
74.2970672,31.5245596
74.2970937,31.4815618
74.2971736,31.4643576
74.2975684,31.5144736
74.298085,31.535873
74.2983591,31.4579871
74.2993596,31.4611902
74.3007449,31.4687182
74.3015432,31.4654182
74.3041113,31.4885364
74.304995,31.48328
74.3059335,31.4802565
74.3083265,31.4758868
74.311565,31.4722469
74.3123815,31.4862342
74.3135664,31.4905086
74.3155684,31.477507
74.3157853,31.4660691
74.316369,31.555796
74.3166823,31.519425
74.318531,31.300371
74.3193081,31.4743288
74.3198456,31.4757284
74.3199014,31.4718092
74.3236553,31.4968532
74.3236932,31.4928942
74.323923,31.484638
74.3255433,31.5182829
74.3257806,31.4291891
74.3261553,31.5705842
74.3275207,31.5651521
74.3281783,31.4918653
74.3283761,31.4919267
74.328444,31.5261666
74.3296516,31.530986
74.3302091,31.4998828
74.3310007,31.4786931
74.3314612,31.4831113
74.3318051,31.4709913
74.3327312,31.5065158
74.3336503,31.4301082
74.3339236,31.5011035
74.3352812,31.4910696
74.336561,31.4344237
74.3375141,31.5273519
74.3375545,31.5036733
74.3375912,31.5216321
74.3376512,31.5225498
74.3380632,31.5111143
74.3389129,31.4291446
74.3395192,31.4266505
74.3406024,31.4863595
74.3408892,31.5151472
74.340954,31.497602
74.341206,31.5215227
74.341498,31.4177868
74.3417536,31.5149834
74.3418955,31.5101938
74.3428829,31.5009835
74.343258,31.504953
74.3435126,31.4327006
74.3438721,31.510776
74.3441265,31.528412
74.3442106,31.5234702
74.34456,31.510181
74.3449399,31.5158744
74.3450358,31.5138893
74.3451288,31.495327
74.3456739,31.5312194
74.3459252,31.4867367
74.3463509,31.5358639
74.3464183,31.5112666
74.3465118,31.5026843
74.3480057,31.5101432
74.3480455,31.5016779
74.348274,31.432193
74.348553,31.526405
74.3491283,31.5206093
74.349489,31.5048427
74.350355,31.537339
74.3508008,31.5247649
74.3513807,31.5012485
74.3517949,31.5099256
74.3520509,31.5128142
74.3521525,31.5291652
74.3522099,31.3086562
74.3522233,31.5155479
74.3530101,31.5006867
74.3530789,31.4698158
74.3536097,31.5046746
74.3540633,31.3069323
74.3545347,31.4739467
74.3558003,31.3251619
74.3573042,31.5245151
74.3585342,31.4794802
74.3591114,31.5236949
74.35991,31.346337
74.363004,31.467349
74.3649602,31.3806792
74.365672,31.386326
74.3663657,31.5219954
74.369493,31.460705
74.370631,31.4692
74.3706621,31.5325846
74.3708583,31.5489349
74.373333,31.473594
74.37375,31.46351
74.3741647,31.3125788
74.374373,31.5283781
74.3753196,31.3168318
74.375424,31.478672
74.375443,31.479463
74.375615,31.471426
74.3765249,31.4547263
74.3765998,31.4724134
74.3774522,31.4811614
74.3774603,31.466817
74.377648,31.538867
74.3783528,31.4927185
74.379531,31.463934
74.379693,31.463326
74.379837,31.538862
74.3801003,31.5287792
74.380349,31.5440878
74.3804505,31.5120053
74.380918,31.47428
74.3813615,31.5525221
74.381561,31.427566
74.3821361,31.3189882
74.382739,31.474553
74.382807,31.483936
74.3828648,31.3202404
74.3834207,31.471723
74.3836768,31.3149056
74.384573,31.486909
74.384654,31.466497
74.385426,31.493133
74.385907,31.481153
74.386422,31.45757
74.3867782,31.5549452
74.3869189,31.5487889
74.3876466,31.4792487
74.389031,31.46246
74.389966,31.467592
74.390025,31.486818
74.390925,31.481467
74.390979,31.455731
74.3916136,31.4824982
74.3919565,31.4446925
74.3920805,31.4538311
74.392427,31.453581
74.3926201,31.4500653
74.3928797,31.4425112
74.3928944,31.4463207
74.3934974,31.4822164
74.393734,31.475045
74.393937,31.545918
74.394062,31.480294
74.394156,31.483728
74.3945733,31.4556333
74.395277,31.472775
74.3956499,31.4970857
74.3957278,31.4399521
74.396605,31.487238
74.39739,31.460578
74.399193,31.481449
74.4001819,31.4268423
74.400671,31.463373
74.4006898,31.5004915
74.400711,31.444675
74.401193,31.476817
74.4014698,31.5485985
74.401533,31.466075
74.402095,31.48425
74.403732,31.478347
74.404079,31.486456
74.404285,31.472759
74.404381,31.320279
74.404642,31.481837
74.4046819,31.5356763
74.405472,31.513247
74.406203,31.458825
74.4062158,31.4781441
74.407607,31.474762
74.408566,31.481676
74.4090383,31.4238878
74.4092692,31.5028853
74.409532,31.466587
74.4108922,31.4151817
74.41102,31.460669
74.4110487,31.5032384
74.4114386,31.5089542
74.412276,31.463862
74.4125447,31.4615915
74.41407,31.533427
74.414138,31.5021919
74.414241,31.537643
74.415698,31.5007799
74.415739,31.536027
74.415808,31.467721
74.416045,31.501633
74.4163858,31.4591162
74.41652252,31.47301552
74.417472,31.457191
74.418755,31.546173
74.4188405,31.4256773
74.418986,31.461038
74.4190388,31.5023134
74.42036,31.532568
74.4203718,31.5414183
74.4204862,31.500146
74.420518,31.494142
74.4208566,31.5000092
74.4209756,31.471737
74.42098,31.538208
74.421005,31.529212
74.421318,31.467928
74.4222794,31.4764743
74.422937,31.5005989
74.4236884,31.5238157
74.4248494,31.5016145
74.424989,31.5293357
74.4251097,31.4403163
74.4252035,31.5018728
74.4252089,31.5037299
74.4254066,31.4256187
74.4270481,31.4256152
74.4270733,31.428733
74.427147,31.465753
74.4285535,31.5216709
74.4287702,31.4615587
74.429106,31.497967
74.4293674,31.5240572
74.4294401,31.486194
74.429985,31.6007165
74.4308731,31.524126
74.4310516,31.5363637
74.4331173,31.4316567
74.433138,31.461231
74.43326,31.449122
74.433348,31.5067366
74.4357776,31.6104226
74.4362835,31.5092679
74.4365815,31.5913663
74.436944,31.490501
74.4377371,31.5126412
74.4377373,31.5314994
74.438178,31.465628
74.4385011,31.5197645
74.4387923,31.5076233
74.4391698,31.4524773
74.4404136,31.50336
74.441369,31.458141
74.4416079,31.5030777
74.442602,31.503355
74.443875,31.50941
74.4447818,31.538264
74.4453503,31.5030699
74.445379,31.45326
74.445462,31.4718
74.4456238,31.5023201
74.445985,31.503069
74.4462874,31.5375032
74.446868,31.482267
74.447132,31.464338
74.4488579,31.595667
74.4497198,31.5947182
74.4497223,31.5896511
74.449734,31.490695
74.449832,31.5947697
74.4499147,31.5253336
74.4499455,31.5329224
74.450166,31.475686
74.4504781,31.5259711
74.4506,31.459191
74.4513479,31.5382415
74.4528535,31.5374807
74.4531323,31.4422435
74.45477,31.472147
74.4551863,31.5364136
74.455247,31.531464
74.455416,31.480851
74.455687,31.488521
74.455995,31.471669
74.4560279,31.4416136
74.456738,31.599624
74.457819,31.594452
74.4584245,31.4715049
74.458512,31.45708
74.4587378,31.5403956
74.4605365,31.6007955
74.46097,31.466243
74.4616257,31.5787404
74.463644,31.469931
74.4639075,31.4733816
74.464266,31.481493
74.4653856,31.457592
74.4657144,31.5819576
74.466106,31.58414
74.4672163,31.59836
74.467628,31.503336
74.4677486,31.4405679
74.46776,31.590463
74.4705224,31.5943077
74.4712978,31.4498307
74.471501,31.5860613
74.471869,31.471886
74.471995,31.489319
74.4723138,31.5970898
74.472711,31.594303
74.47399,31.483491
74.4740778,31.472316
74.4741573,31.5787323
74.4745722,31.5945316
74.4747937,31.605072
74.4750551,31.5855518
74.4754683,31.4815223
74.475789,31.5978174
74.4757987,31.6014481
74.475836,31.498043
74.4768492,31.6054877
74.477941,31.6103989
74.479968,31.471003
74.4808265,31.6009916
74.4808524,31.5996887
74.4810989,31.6030521
74.4813886,31.6002011
74.482199,31.463211
74.482415,31.481286
74.482903,31.488512
74.4833081,31.6001286
74.4834153,31.6054652
74.4835818,31.4884478
74.488266,31.581064
74.4896059,31.4631131
74.490376,31.5855119
74.4946661,31.3982058
74.4961466,31.3985354
74.534182,32.498634
75.3774522,31.4811614
76.3774522,31.4811614
