Lat,Lon
31.4427071,74.2716663
31.4427071,74.2716663
31.4427071,74.2716663
31.4427071,74.2716663
31.4427071,74.2716663
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.427566,74.381561
31.5651521,74.3275207
32.498634,74.534182
31.5651521,74.3275207
31.5651521,74.3275207
31.5651521,74.3275207
32.498634,74.534182
31.455909,74.268753
31.455909,74.268753
31.4557108,74.2641189
31.455909,74.268753
31.4557108,74.2641189
31.455909,74.268753
31.455909,74.268753
31.455909,74.268753
31.455909,74.268753
31.455909,74.268753
31.455909,74.268753
31.4571174,74.2672948
31.4557108,74.2641189
31.455909,74.268753
31.455909,74.268753
31.454621,74.2680276
31.455909,74.268753
31.455909,74.268753
31.454621,74.2680276
31.455909,74.268753
31.455909,74.268753
31.4601326,74.2314505
31.4949205,74.2386585
31.4949205,74.2386585
31.4949205,74.2386585
31.555796,74.316369
31.555796,74.316369
31.555796,74.316369
31.555796,74.316369
31.443259,74.265277
31.5819576,74.4657144
31.5819576,74.4657144
31.5819576,74.4657144
31.5819576,74.4657144
31.5819576,74.4657144
31.5855119,74.490376
31.590463,74.46776
31.590463,74.46776
31.5819576,74.4657144
31.5819576,74.4657144
31.5855119,74.490376
31.5855119,74.490376
31.590463,74.46776
31.5855119,74.490376
31.5860613,74.471501
31.5855119,74.490376
31.5855119,74.490376
31.5855119,74.490376
31.5855119,74.490376
31.5855119,74.490376
31.5855119,74.490376
31.5855119,74.490376
31.5855119,74.490376
